id;min;phrase;clicks;ctr;premium_clicks;premium_ctr;shows;max;first_place_ctr;premium_min;premium_max;first_place_clicks
28670;1.74;"!питание !для !спортсменов !с !доставкой !москва";2;0.19;4;6.07;51;2.97;0.24;1.75;22.35;2
28671;1.45;"!сбалансированное !питание !с !доставкой";2;1.39;3;15.38;10;2.5;1.3;7.28;11.98;2
28672;1.91;"!пп !доставка !еды !москва !недорого";2;1.72;2;8.18;9;1.91;1.72;12.69;38.84;2
28673;4.7;"!сервис !по !доставке !еды";2;0.58;2;2.8;17;4.7;0.58;9.16;47.22;2
28674;6.15;"!доставка !правильной !еды !москва";2;1.77;3;18.54;7;6.15;1.77;8.82;17.12;2
28675;0.78;"!вегетарианское !питание !с !доставкой";2;0.48;2;16.88;5;3.01;0.31;3.51;16.66;2
28676;4.26;"!заказать !полезную !еду !на !дом";2;1.17;3;13.9;5;4.29;1.17;4.98;31.53;2
28677;1.37;"!доставка !готового !питания !для !похудения";2;1.32;3;24.28;6;1.37;1.32;2.76;17.44;2
28678;16.36;"!доставка !вегетарианской !еды !на !дом !москва";2;0.59;2;10.91;7;16.36;0.59;7.72;10.79;2
28679;3.47;"!заказ !еды !диетической !на !дом";2;0.69;3;12.37;10;3.94;1.57;5.14;20.99;2
28680;24.57;"!фитнес !еда !с !доставкой";2;1.07;3;12.91;9;24.57;1.07;2.92;7.36;2
28681;0.81;"!доставка !на !дом !питания";2;1.27;3;13.55;12;1.26;1.44;3.46;13.54;2
28682;11.84;"!доставка !готовой !диетической !еды";2;0.82;2;9.29;5;11.84;0.82;3.23;16.32;2
28683;5.98;"!заказать !питание !на !неделю";2;1.29;4;11.28;22;5.98;1.29;2.34;5.64;2
28684;3.29;"!заказать !здоровую !еду";2;0.63;2;11.47;7;3.29;0.63;5.84;9.17;2
28685;4.36;"!здоровая !еда !заказать";2;0.36;2;6.66;3;4.36;0.36;8.97;29.01;2
28686;4.7;"!здоровая !еда !на !дом";2;1.3;4;20.08;20;4.7;1.3;2.56;13.17;2
28687;5.58;"!заказать !питание !для !похудения";2;0.94;3;9.44;19;5.58;0.94;2.41;4.75;2
28688;2.75;"!доставка !правильного !питания !в !москве";2;0.98;2;12.27;2;2.75;0.98;5.61;11.17;2
28689;0.8;"!диетическое !питание !доставка !на !дом";2;1.5;3;23.18;2;1.63;3.84;2.15;4.15;2
28690;2.84;"!диетическая !еда !на !дом";2;0.6;3;11.6;12;2.84;0.6;2.64;5.69;2
28691;2.84;"!еда !диетическая !на !дом";0;0;0;0;12;2.84;0;2.64;5.69;0
28692;0.87;"!вегетарианские !обеды !с !доставкой";2;0.24;2;5.71;3;2.85;0.95;3.1;3.24;2
28693;2.35;"!доставка !здорового !питания !на !дом !москва";2;0.84;3;26.18;2;2.35;0.84;6.04;9.68;2
28694;2.54;"!доставка !пп !питания";2;1.34;3;10.39;9;2.54;1.34;1.87;7.88;2
28695;1.62;"!заказ !пп !еды !москва !недорого";2;0.58;2;19.72;5;1.62;0.58;4.53;10.81;2
28696;4.42;"!заказ !еды !для !похудения !на !дом";2;0.52;4;15.78;239;4.42;0.52;2.2;9.26;2
28697;2.09;"!доставка !питания !на !неделю !москва";2;0.5;2;9.87;13;2.09;0.5;0.92;4.78;2
28698;1.53;"!правильное !питание !купить !в !москве";2;0.54;3;17.8;10;1.53;0.54;1.6;8.06;2
28699;6.99;"!еда !на !неделю !заказать !москва";2;0.41;2;12.78;5;6.99;0.41;8.03;14.5;2
28700;0.85;"!купить !сбалансированное !питание";2;1.03;3;17.86;8;1.4;2.03;1.84;6.95;2
28701;2.25;"!наборы !готовой !еды !для !снижения !веса";2;0.52;2;23.21;8;2.25;0.52;1.44;7.63;2
28702;23.7;"!спортивная !еда !на !дом";2;0.47;2;16.02;7;23.7;0.47;3.19;7.98;2
28703;0.89;"!москва !здоровая !еда";2;0.84;2;5.54;15;2.37;0.76;1.52;4.78;2
28704;2.13;"!правильное !питание !для !похудения !купить";2;0.61;3;13.84;10;2.13;0.61;1.9;5.87;2
28705;2.87;"!заказ !пп !еды";2;0.44;2;8.57;4;2.87;0.44;2.55;10.88;2
28706;2.87;"!пп !заказ !еды";0;0;0;0;4;2.87;0;2.55;10.88;0
28707;0.01;"!готовый !рацион !питания";0;0;2;13.26;2;0.01;0;1.32;2.22;0
28708;5.39;"!доставка !еды !на !месяц";2;0.48;2;7.18;7;5.39;0.48;6.86;26.17;2
28709;1.57;"!еда !для !похудения !на !дом";2;0.91;3;12.94;10;1.57;0.91;1.83;3.64;2
28710;4.95;"!готовая !еда !в !москве";2;0.3;2;10.88;8;4.95;0.3;2.98;9.63;2
28711;1.02;"!купить !готовую !еду !для !похудения";2;1.43;2;17.38;4;2.02;1.06;1.31;3.36;2
28712;2.36;"!заказ !здоровой !еды !на !дом !на !неделю";2;0.46;2;9.11;2;2.36;0.46;5.7;15.07;2
28713;3.39;"!правильное !питание !для !похудения !заказать";2;0.85;2;16.47;0;3.39;0.85;1.87;3.54;2
28714;0.85;"!доставка !пп !москва";2;1.02;2;11.06;5;0.85;1.02;3.02;11.49;2
28715;1.68;"!заказ !здорового !питания";2;0.99;2;13.86;5;1.68;0.99;2.32;8.04;2
28716;1.9;"!правильное !питание !с !доставкой !по !москве";2;2.15;2;8.22;5;3.2;2.17;3.47;6.39;2
28717;0.76;"!доставка !пп !на !дом";2;0.62;2;7.57;7;2.28;1.15;2.44;8.47;2
28718;4.24;"!сервис !по !доставке !готовой !еды !на !неделю";2;0.51;2;5.29;4;4.46;0.51;3.17;9.84;2
28719;0.85;"!правильное !питание !в !москве !с !доставкой";2;1.48;2;10.08;1;2.3;2.5;3.39;6.39;2
28720;0.85;"!правильное !питание !с !доставкой !в !москве";0;0;0;0;1;2.3;0;3.39;6.39;0
28721;1.37;"!москва !сбалансированное !питание";2;0.94;2;11.31;8;1.37;0.94;3.86;25.56;2
28722;2.36;"!правильное !питание !доставка !на !дом !москва";2;0.8;2;5.98;3;2.36;0.8;4.03;7.1;2
28723;0.48;"!заказ !еды !по !калориям";2;0.33;2;3.87;4;0.48;0.33;1.34;3.18;2
28724;0.95;"!доставка !еды !для !веганов";2;0.78;2;4.17;2;1.39;0.96;2.97;45.74;2
28725;2.64;"!заказ !еды !для !похудения !на !неделю";2;0.73;2;15.54;4;2.64;0.73;2.58;8.56;2
28726;0.94;"!сбалансированное !питание !заказать !москва";2;1.96;2;34.91;2;0.94;1.96;1.45;6.83;2
28727;2.23;"!заказать !веганскую !еду";2;0.95;2;6.8;6;2.23;0.95;2.29;21.92;2
28728;0.97;"!пп !еда !на !дом !москва";2;0.56;2;18.98;4;1.24;2.08;0.91;1.81;2
28729;0.5;"!правильное !питание !купить !в !москве !цены";2;2.05;2;7.97;7;0.97;2.24;1.45;8.16;2
28730;5.12;"!доставка !готовой !еды !на !месяц";2;0.41;2;5.96;4;5.4;0.41;7.79;31.41;2
28731;0.65;"!заказать !питание !для !похудения !на !дом !москва";2;0.46;2;17.06;1;0.65;0.46;1.97;17.58;2
28732;1.91;"!диет !питание !доставка !москва";2;0.63;2;13.49;2;1.91;0.63;1.31;2.82;2
28733;2.63;"!готовая !еда !на !месяц !для !похудения";2;0.01;2;13.9;4;2.63;0.01;1.13;2.83;2
28734;2.39;"!готовое !питание !на !неделю !с !доставкой";2;0.62;2;12.08;1;2.39;0.62;2.56;18.43;2
28735;0.01;"!еда !на !заказ !для !похудения !москва";0;0;2;9.56;2;0.01;0;2.52;3.64;0
28736;11.01;"!готовая !еда !на !неделю !с !доставкой !москва";2;0.58;2;13.71;2;11.01;0.58;4.44;24.44;2
28737;11.13;"!правильное !питание !на !неделю !доставка !москва";2;0.16;2;11.94;5;11.13;0.16;6.18;15.75;2
28738;0.72;"!схема !питания !для !похудения !для !женщин";2;0.58;2;1.23;22;1.68;0.55;2;15.11;2
28739;0.63;"!питание !с !доставкой !в !москве";2;0.59;2;16.13;3;0.63;0.59;1.18;3.74;2
28740;0.79;"!питание !на !дом !москва";2;1.13;2;13;2;0.79;1.13;2.02;3.09;2
28741;0.01;"!конструктор !еды !вегетарианский";0;0;2;11.95;1;0.01;0;4.76;10.09;0
28742;0.83;"!сервис !правильного !питания";2;0.52;2;14.98;4;0.85;0.52;0.84;7.24;2
28743;1.34;"!готовые !блюда !для !похудения !с !доставкой";2;1.22;2;17.09;6;1.38;1.22;1.08;3.24;2
28744;0.56;"!расчет !программы !питания !онлайн";2;0.56;2;10.13;5;0.79;0.35;1.36;1.36;2
28745;0.01;"!заказ !пп";0;0;2;6.97;5;0.01;0;1.14;9.87;0
28746;0.01;"!питание !с !доставкой !для !вегетарианцев";0;0;2;12.06;2;0.01;0;1.72;9.37;0
28747;0.01;"!питание !пп !заказать";0;0;2;22;2;0.01;0;1.28;4.7;0
28748;0.68;"!заказать !диету";2;1.11;2;6.7;2;0.68;1.11;0.66;3.36;2
28749;2.18;"!доставка !полезной !еды !в !москве !недорого";2;1.88;2;13;2;2.18;1.88;3.74;8.13;2
28750;0.01;"!здоровье !питание !с !доставкой !на !дом";0;0;0;0;0;0.01;0;0.01;0.01;0
28751;0.75;"!доставка !рационов";2;0.45;2;6.44;2;1.51;1.06;1.66;3.88;2
28752;0.01;"!вегетарианское !меню !доставка";0;0;0;0;5;0.01;0;0.01;0.01;0
28753;0.57;"!еда !по !интернету";2;0.24;2;4.71;1;0.57;0.24;0.6;1.88;2
28754;0.01;"!питание !по !калориям !для !похудения !с !доставкой";0;0;0;0;0;0.01;0;0.01;0.01;0
28755;1.1;"!питание !на !день !с !доставкой";2;0.39;2;4.02;1;1.1;0.39;1.73;11.05;2
28756;1.71;"!веганское !меню !с !доставкой";2;0.23;2;20.46;3;1.71;0.23;0.3;6.5;2
28757;0.73;"!правильное !питание !принципы !и !основы";2;0.35;2;0.63;14;0.73;0.35;2.6;2.6;2
28758;0.96;"!питание !бжу";2;0.2;2;9.57;3;0.96;0.2;0.89;0.89;2
28759;1.16;"!пп !питание !на !дом";2;0.31;2;0.2;1;1.16;0.31;0.86;0.86;2
28760;3.59;"!здоровое !питание !москва !доставка";2;0.78;4;22.13;9;3.59;0.78;4.59;7.59;2
28761;6.37;"!доставка !правильно !питания";2;0.57;2;12.31;3;6.37;0.57;5.69;15.19;2
28762;0.01;"!veglifefood";0;0;0;0;4;0.01;0;0.01;0.01;0
28763;0.37;"!расчет !рациона !питания !онлайн";2;0.23;0;0;3;0.37;0.23;0.01;0.01;2
28764;1.18;"!как !питаться !по !бжу";2;0.37;0;0;2;1.18;0.37;0.01;0.01;2
28765;0.01;"!калькулятор !питание";0;0;0;0;2;0.01;0;0.01;0.01;0
28766;0.01;"!конструктор !пп !меню";0;0;0;0;2;0.01;0;0.01;0.01;0
28767;0.01;"!полезная !еда !в !москве";0;0;2;6.17;2;0.01;0;1.23;5.88;0
28768;0.29;"!онлайн !калькулятор !правильного !питания";2;0.98;0;0;1;0.86;2.43;0.01;0.01;2
28769;0.01;"!питание !на !каждый !день !заказ";0;0;0;0;0;0.01;0;0.01;0.01;0
28770;1.28;"!правильное !питание";5;0.23;141;5.78;2558;1.42;0.24;1.02;2.71;5
28771;1.76;"!заказать !еды !в !москве";2;1.62;2;5.66;7;1.85;1.16;13.3;36.01;2
28772;3.13;"!just !food !доставка !еды !правильного !питания";2;0.62;10;13.83;71;4.63;0.7;8.73;39.02;2
28773;9.2;"!здоровая !еда !доставка";2;0.89;3;12.17;10;9.2;0.89;6.86;30.2;2
28774;9.2;"!доставка !здоровая !еда";0;0;0;0;10;9.2;0;6.86;30.2;0
28775;4.11;"!здоровая !еда !доставка !москва";2;1.14;2;9.42;3;4.35;1.14;4.03;23.51;2
28776;4.11;"!доставка !здоровая !еда !москва";0;0;0;0;3;4.35;0;4.03;23.51;0
28777;1.24;"!еда !заказать !москва";2;1.32;2;1.28;4;1.24;1.32;1.61;30.36;2
28778;19.25;"!доставка !еды !вегетарианской";2;0.39;10;10.74;83;19.25;0.39;10;20.03;2
28779;12.98;"!еда !вегетарианская !доставка";2;0.63;5;17.58;19;12.98;0.63;6.15;9.85;2
28780;1.33;"!питание !на !неделю !питание !на !неделю !доставка";2;1.18;2;11.8;5;1.33;1.18;4.28;7.06;2
28781;22.53;"!пп !доставка !еды";2;0.55;7;11.62;40;22.53;0.55;9.63;26.19;2
28782;0.01;"!пп !еда !доставка";0;0;2;5.9;6;0.01;0;4.76;12.2;0
28783;9.47;"!доставка !еды !для !похудения !на !неделю";2;0.41;9;8.91;92;11.55;0.39;10.37;18.71;2
28784;4.3;"!правильное !питание !доставка !еды !москва";2;1.18;6;8.99;46;5.6;1.18;10.63;21.67;2
28785;1.93;"!питание !с !доставкой !на !дом !для !похудения";2;1.7;20;23.75;83;3.14;1.49;4.31;20.03;2
28786;0.98;"!general !foods";2;0.14;2;2.69;0;0.98;0.14;0.96;3.12;2
28787;11.31;"!доставка !еды !правильное !питание";2;0.88;4;14.62;15;11.31;0.88;10.76;15.94;2
28788;27.22;"!доставка !еды !пп !в !москве";2;0.76;7;12.19;35;27.22;0.76;15.89;43.22;2
28789;9.17;"!сервисы !доставки !готовой !еды";2;0.63;4;3.38;57;10.97;0.61;16.95;55.1;2
28790;8.31;"!доставка !еды !пп !москва";2;0.75;4;10.14;21;8.31;0.75;15.74;33.27;2
28791;8.31;"!москва !доставка !пп !еды";0;0;0;0;21;8.31;0;15.74;33.27;0
28792;0.01;"!пп !еда !доставка !москва";0;0;2;0.09;0;0.01;0;30.68;30.68;0
28793;6.05;"!доставка !еды !полезной";2;0.52;9;8.98;77;8.33;0.55;7.22;15.07;2
28794;0.01;"!доставка !еды !здорового !питания";0;0;2;0.09;1;0.01;0;5.56;13.26;0
28795;2.16;"!готовые !блюда !доставка";2;0.43;2;5.54;1;2.16;0.43;1.82;8.32;2
28796;0.01;"!еда !для !похудения !доставка !на !дом";0;0;0;0;0;0.01;0;0.01;0.01;0
28797;1.13;"!полезная !еда !доставка !москва";2;2.57;2;2.17;2;2.75;1.03;2.62;9.54;2
28798;3.67;"!питание !диетическое !с !доставкой";2;0.58;12;14.09;68;3.78;0.58;3.77;9.89;2
28799;1.09;"!магазин !здорового !питания";2;0.53;25;10.95;216;1.51;0.54;1.36;4.26;2
28800;0.68;"!здоровое !питание !магазин";2;1.41;3;13.82;8;0.83;1.04;1;28.05;2
28801;2.58;"!сбалансированное !питание !доставка";2;1.67;3;13.23;6;5.21;1.48;5.68;12.19;2
28802;0.95;"!еда !с !доставкой !готовая";2;2.25;6;9.98;56;2.25;2.94;7.36;10.76;2
28803;4.51;"!правильное !питание !заказать !на !дом !москва";2;0.73;4;14.59;12;4.51;0.73;7.34;45.81;2
28804;3.36;"!здоровая !еда !на !дом !с !доставкой";2;1.98;5;13.69;33;3.36;1.98;6.22;26.01;2
28805;13.75;"!доставка !еды !на !дом !на !неделю !москва";2;1.46;4;15.42;24;13.75;1.46;11.38;26.27;2
28806;13.75;"!доставка !еды !на !неделю !на !дом !москва";0;0;0;0;24;13.75;0;11.38;26.27;0
28807;13.75;"!доставка !еды !на !дом !москва !на !неделю";0;0;0;0;24;13.75;0;11.38;26.27;0
28808;1.49;"!правильное !питание !на !неделю !доставка";2;1.07;4;11.62;24;3.03;1.46;7.66;53.02;2
28809;0.01;"!доставка !правильного !питания !на !неделю";0;0;2;4.26;3;0.01;0;3.35;7.28;0
28810;5.71;"!питание !на !дом !с !доставкой";2;0.83;7;12.83;36;5.72;0.83;7.41;14.57;2
28811;2.32;"!правильное !питание !для !похудения !в !домашних !условиях";2;0.21;19;9.05;176;2.32;0.21;1.83;11.16;2
28812;14.52;"!доставка !здорового !питания !москва !недорого";2;0.2;5;11.99;35;20.81;0.35;6.56;18.21;2
28813;1.63;"!еда !на !дом !москва";2;1.04;4;7.03;40;3.86;1.44;4.78;12.98;2
28814;2.34;"!еды !на !дом !москва";2;0.63;2;13.62;5;2.34;0.63;7.03;11.21;2
28815;3.98;"!сервисы !доставки !готовой !еды !на !неделю";2;0.47;4;7.79;21;7.52;0.93;7.45;16.49;2
28816;1.4;"!сервис !доставки !готовой !еды !на !неделю";2;3.47;2;16.31;3;1.85;0.4;4.04;7.44;2
28817;45.06;"!доставка !еды !диетической !на !неделю";2;0.2;3;5.16;34;45.06;0.2;7.63;17.24;2
28818;3.56;"!правильное !питание !на !заказ";2;0.99;5;6.73;46;3.56;0.99;4.94;29.18;2
28819;10.26;"!еда !на !неделю !заказать";2;0.49;2;18.33;1;10.26;0.49;6.28;16.3;2
28820;3.21;"!еда !на !неделю !с !доставкой !на !дом";2;0.82;3;9.54;15;4.55;1.19;8.61;28.83;2
28821;20.99;"!доставка !полезной !еды !на !дом !на !неделю";2;0.15;4;7;31;20.99;0.15;8.06;41.92;2
28822;0.53;"!правильное !питание !магазин";2;1.63;2;8.44;5;0.73;1.48;1.11;8.64;2
28823;4.98;"!доставка !еды !для !похудения !на !дом !москва";2;0.14;3;4.39;32;9.12;0.24;7.18;15.95;2
28824;42.11;"!здоровое !питание !с !доставкой !на !неделю";2;0.22;3;7.4;28;42.11;0.22;8.79;19.39;2
28825;4.59;"!с !веганская !еда !с !доставкой";2;0.97;4;10.92;34;4.59;0.97;8.59;22.65;2
28826;5.59;"!сбалансированное !питание !москва !доставка";2;0.39;4;10.31;33;5.96;0.34;4.16;10.71;2
28827;29.32;"!доставка !полезной !еды !на !дом !москва";2;0.4;3;11.92;10;29.32;0.4;16.58;37.63;2
28828;42.73;"!здоровая !еда !с !доставкой !на !неделю";2;0.38;3;5.56;30;42.73;0.38;8.48;41.36;2
28829;1.27;"!корпоративное !питание";2;0.45;7;5.32;92;4.48;0.43;3.25;9.95;2
28830;0.01;"!заказ !правильное !питание";0;0;2;10.01;6;0.01;0;7.21;58.11;0
28831;1.86;"!правильное !питание !рецепты";2;0.39;11;5.56;272;2.41;0.39;2.24;2.55;2
28832;12.53;"!правильная !еда !с !доставкой !на !дом";2;1.16;4;15.9;21;12.53;1.16;5.45;7.89;2
28833;0.01;"!готовые !питание !на !неделю !заказать";0;0;0;0;2;0.01;0;0.01;0.01;0
28834;0.95;"!правильное !питание !москва !доставка !недорого";2;1.97;2;7.29;6;0.95;1.97;2.61;10.28;2
28835;2.39;"!заказать !здоровое !питание";2;2.09;4;21.86;15;2.58;1.86;3.61;10.75;2
28836;2.17;"!питание !готовое";2;0.93;13;17.24;66;2.22;0.93;1.5;3.68;2
28837;0.01;"!готовые !питание";0;0;2;25.7;1;0.01;0;1.21;2.63;0
28838;1.36;"!меню !правильного !питания !для !похудения";2;0.32;6;10.77;43;1.36;0.32;1.62;3.28;2
28839;1.05;"!магазин !правильного !питания !в !москве";2;0.44;4;13.06;29;1.14;0.52;1.98;3.89;2
28840;20.25;"!готовая !вегетарианская !еда !доставка";2;0.14;2;4.04;3;20.25;0.14;5.16;7.93;2
28841;2.28;"!веганская !доставка !еды";2;0.52;2;3.14;3;2.28;0.52;3.63;13.1;2
28842;2.62;"!наборы !готовой !еды";2;0.71;2;8.51;7;3.04;0.96;3.98;16.95;2
28843;1.03;"!набор !готовой !еды";2;0.44;2;11.63;4;1.83;0.75;2.6;34.25;2
28844;27.53;"!доставка !правильного !питания !еды !на !дом";2;0.77;2;28.68;2;27.53;0.77;7.26;29.53;2
28845;0.96;"!general !food !промокод";2;1.14;6;22.4;23;0.96;1.14;1.78;11.92;2
28846;1.03;"!пп !еда !на !заказ !москва";2;2.4;4;24.16;14;2.01;3.66;3.96;10.44;2
28847;23.2;"!сервис !доставки !диетической !еды";2;0.09;3;2.41;46;23.2;0.09;9.73;23.41;2
28848;4.97;"!еда !с !доставкой !полезная";2;0.74;7;15.19;32;4.97;0.74;3.12;7.46;2
28849;4.97;"!еда !полезная !с !доставкой";0;0;0;0;32;4.97;0;3.12;7.46;0
28850;5.01;"!доставка !фитнес !питания";2;0.09;4;8.19;31;5.16;0.09;2.98;8.53;2
28851;2.61;"!программа !питания !с !доставкой";2;0.38;2;8.33;5;2.61;0.38;1.71;7.06;2
28852;0.01;"!здоровая !еда !доставка !на !дом !москва";0;0;0;0;0;0.01;0;0.01;0.01;0
28853;2.31;"!доставка !пп";2;0.78;5;12.59;28;2.31;0.78;3.21;9.97;2
28854;4.68;"!готовая !еда !пп !с !доставкой !москва";2;1.25;2;5.84;7;4.68;1.25;6.9;38.28;2
28855;13.95;"!диетическую !еду !заказать";2;0.15;3;5.66;33;13.95;0.15;5.17;22.46;2
28856;4.54;"!заказ !еды !пп !москва";2;0.57;3;12.69;11;4.54;0.57;5.21;14.59;2
28857;1.55;"!купить !правильное !питание";2;0.94;5;11.36;33;1.55;0.94;2.05;3.69;2
28858;23.11;"!готовая !диетическая !еда !с !доставкой";2;0.11;4;8.39;31;23.11;0.11;4.12;10.16;2
28859;2.3;"!доставка !правильного !питания !на !дом";2;1.51;2;12.59;6;2.3;1.51;7.12;13.85;2
28860;2.3;"!доставка !на !дом !правильного !питания";0;0;0;0;6;2.3;0;7.12;13.85;0
28861;0.77;"!правильное !питание !доставка !на !дом";2;1.81;3;13.75;8;2.07;2.99;5.51;39.65;2
28862;0.77;"!правильное !питание !на !дом !доставка";0;0;0;0;8;2.07;0;5.51;39.65;0
28863;0.49;"!интернет !магазины !здорового !питания !в !москве";2;1.47;2;3.04;51;1.7;1.88;4.82;30.31;2
28864;21.35;"!заказать !вегетарианскую !еду";2;1.49;4;17.67;6;21.35;1.49;10.02;13.14;2
28865;4.84;"!вегетарианская !еда !заказать";2;0.31;2;7.3;3;4.84;0.31;6.28;16.55;2
28866;4.47;"!доставка !вегетарианской !еды !москва !на !неделю";2;3.09;3;9.59;11;4.81;3.09;5.78;11.21;2
28867;4.71;"!заказать !пп !еду !на !дом";2;1.09;2;8.69;11;4.71;1.09;10.58;53.02;2
28868;3.45;"!доставка !полезного !питания !москва";2;1.02;3;13.09;11;3.45;1.02;3.05;5.98;2
28869;14.27;"!набор !еды !на !неделю !с !доставкой";2;1.45;3;12.9;9;14.27;1.45;5.51;23.74;2
28870;2.26;"!grow !food !доставка !еды !калькулятор";2;0.84;2;0.96;4;2.26;0.84;11.07;38;2
28871;2.29;"!домашняя !еда !с !доставкой";2;0.64;4;8.73;31;2.29;0.64;5.56;20.12;2
28872;31.47;"!готовая !еда !на !день !доставка";2;0.52;2;1.53;4;31.47;0.52;11.7;18.48;2
28873;2.06;"!еда !на !дом !вегетарианская";2;0.17;4;6.27;34;2.25;0.2;5.71;11.63;2
28874;1.95;"!заказ !здоровой !еды";2;1.7;2;6.52;5;2.83;1.75;5.38;14.5;2
28875;1.95;"!заказ !еды !здоровой";0;0;0;0;5;2.83;0;5.38;14.5;0
28876;0.93;"!диета !для !похудения !меню";2;0.25;4;7;49;3.2;0.31;1.77;5.18;2
28877;0.86;"!рационы !питания";2;0.65;2;2.97;5;0.89;0.65;2.03;2.15;2
28878;17.26;"!заказ !еды !для !похудения";2;0.13;5;11.65;38;17.26;0.13;3.32;15.17;2
28879;8.47;"!еда !на !день !доставка";2;0.33;2;2.51;4;8.47;0.33;22.48;58.34;2
28880;3.89;"!доставка !низкокалорийной !еды !на !дом !в !москве";2;1.39;2;12.18;8;4.17;0.71;14.75;29.4;2
28881;5.88;"!еда !на !заказ !правильное !питание";2;0.86;3;13.46;10;5.88;0.86;6.51;10.51;2
28882;0.01;"!здоровое !питание !на !дом !доставка";0;0;2;11.86;0;0.01;0;2.46;4.84;0
28883;0.01;"!доставка !еды !рацион !на !неделю";0;0;2;8.09;3;0.01;0;6.33;8.69;0
28884;11.22;"!заказать !здоровую !еду !на !дом !москва";2;0.55;2;10.38;5;11.22;0.55;21.65;31.44;2
28885;2.53;"!здоровое !питание !с !доставкой !москва";2;1.41;3;16.63;9;2.53;1.41;4.38;8.96;2
28886;7.51;"!готовые !обеды !на !неделю !с !доставкой !недорого";2;0.76;2;19.92;2;7.51;0.76;2.28;4.93;2
28887;3.77;"!сервисы !по !доставке !еды";2;0.49;2;1.72;6;3.77;0.49;9.74;71.59;2
28888;0.57;"!питание !на !заказ !на !неделю";2;0.79;2;16.47;2;0.57;0.79;0.9;5.13;2
28889;10.1;"!сервис !доставки !еды !на !неделю !москва";2;1.04;2;12.45;5;10.1;1.04;9.93;12.47;2
28890;5.81;"!доставка !пп !еды !на !дом !недорого";2;1.3;2;4.62;2;5.81;1.3;11.91;29.94;2
28891;6.48;"!заказ !правильного !питания !на !дом";2;0.71;3;13.88;7;6.48;0.71;4.38;22.28;2
28892;3.4;"!фитнес !еда !с !доставкой !москва !недорого";2;0.7;3;16.99;8;3.4;0.7;3.57;24.42;2
28893;2.03;"!готовое !сбалансированное !питание";2;0.51;3;9.67;13;2.03;0.51;4.44;28.58;2
28894;1.46;"!магазин !готовой !еды";2;0.8;3;6.83;28;1.57;0.83;1.51;5.18;2
28895;1.57;"!вегетарианская !еда !доставка !на !дом !москва";2;0.71;2;13.86;1;1.57;0.71;6.8;11.75;2
28896;4.75;"!готовые !наборы !еды !на !неделю";2;0.47;3;10.07;11;4.75;0.47;7.77;13.02;2
28897;0.01;"!доставка !еды !диетическая !москва";0;0;0;0;0;0.01;0;0.01;0.01;0
28898;3.47;"!заказ !еды !на !дом !диетической";2;0.69;3;12.37;10;3.94;1.57;5.14;20.99;2
28899;2.29;"!доставка !еды !правильной";2;1.69;3;12.19;9;2.51;1.3;9.51;25.5;2
28900;2.32;"!раздельное !питание !для !похудения !меню !на !неделю";2;0.2;5;6.99;49;2.32;0.2;1.63;3.11;2
28901;2.2;"!доставка !правильного !питания !недорого";2;0.74;2;7.14;1;2.2;0.74;2.42;5.97;2
28902;2.37;"!наборы !еды !для !похудения !на !неделю";2;0.74;3;8;14;2.37;0.74;1.79;16.43;2
28903;1.74;"!диетическое !питание !готовое !с !доставкой";2;0.26;2;17.25;6;2.82;1.22;3.06;4.5;2
28904;6.26;"!заказать !полезную !еду";2;0.99;3;15.84;4;6.94;0.99;4.58;19.3;2
28905;0.01;"!конструктор !еда !на !дом";0;0;2;10.64;2;0.01;0;0.63;0.77;0
28906;2.58;"!еда !с !доставкой !на !месяц";2;0.56;3;8.37;12;2.59;0.56;2.88;14.31;2
28907;1.38;"!здоровое !питание !с !доставкой !по !москве";2;0.63;2;12.06;7;2.6;2.09;4.27;7.95;2
28908;5.98;"!питание !на !неделю !заказать";2;1.29;4;11.28;22;5.98;1.29;2.34;5.64;2
28909;5.87;"!заказ !полезной !еды !на !дом !москва";2;0.57;2;13.33;3;5.87;0.57;13.43;25.87;2
28910;3.36;"!правильное !питание !в !офис !доставка";2;0.86;2;5.63;8;3.79;1;10.25;24.1;2
28911;2.57;"!доставка !веганской !еды !пп !на !дом";2;1.03;2;5;1;2.57;1.03;9.67;26.16;2
28912;3.12;"!здоровое !питание !с !доставкой !в !офис !москва";2;2.12;2;15.03;5;5.03;4.32;4.13;6.24;2
28913;2.84;"!заказ !здоровой !еды !на !дом !москва";2;1.22;2;11.66;4;2.84;1.22;7.11;25.79;2
28914;2.84;"!еда !на !дом !диетическая";2;0.6;3;11.6;12;2.84;0.6;2.64;5.69;2
28915;2.33;"!доставка !готовой !еды !на !неделю !вегетарианское";2;0.28;2;4.12;3;3.79;3.31;3.53;7.14;2
28916;3.72;"!доставка !готовой !еды !для !похудения !москва";2;0.65;2;10.72;6;3.72;0.65;13.64;38.58;2
28917;2.45;"!питание !на !неделю !с !доставкой !вегетарианское";2;0.8;3;26.28;5;2.45;0.8;3.63;6.42;2
28918;2.09;"!доставка !готового !питания !на !неделю";2;1.16;2;6.33;7;2.09;1.16;3.7;37.5;2
28919;1.75;"!наборы !еды !для !похудения";2;0.88;3;8.74;13;1.75;0.88;1.65;2.77;2
28920;0.47;"!правильное !питание !интернет !магазин";2;0.93;2;9.08;9;0.97;1.22;0.98;3.47;2
